0,1,2,3,4,5,6,7,8,9,10,11
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",진에어,11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 409,900원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 410,700원~",,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 410,900원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 411,000원~",,,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 411,000원~",,
진에어,08:55ICN,10:50KIX,"직항, 01시간 55분",11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 411,100원~",,,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",17:00KIX,19:10ICN,"직항, 02시간 10분",성인/모든 결제수단,"왕복 411,500원~",,,
진에어,08:00ICN,09:45KIX,"직항, 01시간 45분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 412,700원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 412,800원~",,
피치항공,10:35ICN,12:20KIX,"직항, 01시간 45분",19:40KIX,21:45ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 413,388원~",,,
피치항공,10:35ICN,12:20KIX,"직항, 01시간 45분",12:30KIX,14:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 413,388원~",,,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 413,600원~",,
이스타항공,15:05ICN,17:00KIX,"직항, 01시간 55분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 414,100원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 414,200원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 414,200원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 414,600원~",,,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 416,100원~",,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 416,200원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 416,200원~",,
진에어,08:00ICN,09:45KIX,"직항, 01시간 45분",12:00KIX,14:00ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 416,200원~",,,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 417,200원~",,
에어서울,13:10ICN,15:00KIX,"직항, 01시간 50분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 418,700원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",에어부산,12:25KIX,14:25ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 418,800원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",티웨이항공,15:30KIX,17:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 419,620원~",,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 420,000원~",,
에어부산,09:45ICN,11:30KIX,"직항, 01시간 45분",18:30KIX,20:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 420,500원~",,,
